Date,Close,High,Low,Open,Volume
2018-01-02,85.9012680053711,85.95697030009438,84.9941128792519,85.64662807647966,13578800
2018-01-03,85.98880004882812,86.33097301845683,85.52726935696417,85.82965237178465,11901000
2018-01-04,87.2206802368164,88.01257574659238,86.5487642719129,86.67675059007492,12953700
2018-01-05,86.66071319580078,87.62859254174796,86.21277347403554,87.39662201362782,14155000
2018-01-08,86.78871154785156,86.9326930645744,86.14879233958973,86.50874918275771,12466500
2018-01-09,87.2286376953125,87.69257261201291,86.7806919063762,86.96467062191228,13292300
2018-01-10,88.18851470947266,88.54846538964748,87.50060381172985,87.56459694238518,15834500
2018-01-11,88.66044616699219,88.73243996128983,88.02853386519143,88.5244653477551,13676800
2018-01-12,90.124267578125,90.26824908102235,88.66045664912217,89.30837646352086,18884200
2018-01-16,89.8042984008789,90.73218045425934,88.84442588602798,89.1963819894096,22703300
2018-01-17,90.38024139404297,90.62821328760445,89.0364159582117,89.50035707238814,14940300
2018-01-18,90.59619903564453,90.9641503673333,89.80429780826161,90.1962511399758,14572900
2018-01-19,90.39624786376953,91.46010489622687,90.22827043759204,91.14015138125383,18785500
2018-01-22,91.45208740234375,91.50007919701328,89.98827663771728,90.1162628937968,12475700
2018-01-23,91.3561019897461,91.70005744067124,90.66819108789579,90.92415750932469,12320800
2018-01-24,92.52395629882812,92.78792340765821,91.71606584242771,91.87604257962823,15904500
2018-01-25,92.5479507446289,92.92390278413507,92.05201920546864,92.8199185168611,13510000
2018-01-26,93.04389953613281,93.04389953613281,91.95604052228636,92.54796183482217,13883900
2018-01-29,92.94791412353516,93.86779575758493,92.8039325973124,92.8039325973124,11679900
2018-01-30,92.07601928710938,93.26786249199819,91.97203501511287,92.411974106841,14279100
2018-01-31,92.52395629882812,93.31585762531837,92.11601378815037,92.50796106619661,13141400
2018-02-01,93.48382568359375,93.579809275229,92.37197099386674,92.60393540879907,13800600
2018-02-02,91.41207885742188,93.5238029995979,91.26009672281866,93.17984760735682,16477300
2018-02-05,87.0286865234375,91.66007895485085,83.1731880793394,90.3882472546452,30097600
2018-02-06,89.67634582519531,89.97230955794102,85.27691759084176,85.46889093230581,33114800
2018-02-07,90.28424835205078,91.54807917889822,88.90842648975801,89.22838605585048,21878300
2018-02-08,86.2927474975586,90.47620477028256,86.2607509366469,90.47620477028256,27425800
2018-02-09,88.02054595947266,88.82844253082479,84.97294451980056,87.26864185726049,28188000
2018-02-12,89.38038635253906,90.17228786642687,88.04456136236549,88.92444583062917,18043300
2018-02-13,89.93228912353516,90.42822673904394,88.62846110728454,89.04440425698284,16358200
2018-02-14,92.01202392578125,92.20399723202867,90.01228418609993,90.09227255514291,15186900
2018-02-15,92.39596557617188,92.77991214268742,91.36409926174031,92.57993819266706,12130200
2018-02-16,91.73204803466797,92.84390267750088,91.58806655056699,91.6280637805419,13214300
2018-02-20,91.75604248046875,92.29997184483474,91.16412132306824,91.70805068743422,13461500
2018-02-21,92.14002227783203,93.94778284553898,91.72407293992408,91.9880400848208,14212500
2018-02-22,91.97203063964844,93.13187722042422,91.79605257024052,92.38797381056793,17070400
2018-02-23,93.83577728271484,93.89977041337114,92.2359856326324,92.2359856326324,12162500
2018-02-26,95.00362396240234,95.10761432485991,93.84377746319414,94.49969179221851,16511200
